"iso3c","year","pop","emissions","em_pc","income_class","emissions_class"
"ABW",2010,101900,1068684,10.4875760549558,"high income","high emissions"
"ABW",2011,102174,938828,9.18852154168379,"high income","middle emissions"
"ABW",2012,102559,1219301,11.8887762166168,"high income","high emissions"
"ABW",2013,103016,1244639,12.0819969713443,"high income","high emissions"
"ABW",2014,103509,1221309,11.7990609512216,"high income","high emissions"
"ABW",2015,104000,1220990,11.7402884615385,"high income","high emissions"
"ABW",2016,104458,1165649,11.1590208504854,"high income","high emissions"
"ABW",2017,104877,947408,9.03351545143358,"high income","middle emissions"
"ABW",2018,105257,921262,8.75250102130975,"high income","middle emissions"
"ABW",2019,105598,1026329,9.71920869713442,"high income","middle emissions"
"ABW",2020,105900,827613,7.81504249291785,"high income","middle emissions"
"ABW",2021,106164,850326,8.00955126031423,"high income","middle emissions"
"ABW",2022,106397,873020,8.20530654059795,"high income","middle emissions"
"ABW",2023,106609,895741,8.40211426802615,"high income","middle emissions"
"ABW",2024,106807,918457,8.5992210248392,"high income","middle emissions"
"ABW",2025,107000,941151,8.79580373831776,"high income","middle emissions"
"ABW",2026,107196,941458,8.78258517108847,"high income","middle emissions"
"ABW",2027,107394,941810,8.76967055887666,"high income","middle emissions"
"ABW",2028,107595,942144,8.75639202565175,"high income","middle emissions"
"ABW",2029,107797,942493,8.74322105438927,"high income","middle emissions"
"ABW",2030,108000,942599,8.72776851851852,"high income","middle emissions"
"ABW",2031,108201,1002613,9.26620826055212,"high income","middle emissions"
"ABW",2032,108392,1062582,9.80314045316998,"high income","middle emissions"
"ABW",2033,108562,1122574,10.3403953501225,"high income","high emissions"
"ABW",2034,108701,1182518,10.8786303713857,"high income","high emissions"
"ABW",2035,108800,1242510,11.4201286764706,"high income","high emissions"
"ABW",2036,108851,1317671,12.1052723447649,"high income","high emissions"
"ABW",2037,108859,1392835,12.7948538935687,"high income","high emissions"
"ABW",2038,108831,1468043,13.4891988495925,"high income","high emissions"
"ABW",2039,108775,1543185,14.1869455297633,"high income","high emissions"
"ABW",2040,108700,1618432,14.8889788408464,"high income","high emissions"
"ABW",2041,108612,1692674,15.5845947040843,"high income","high emissions"
"ABW",2042,108514,1766945,16.2831063272942,"high income","high emissions"
"ABW",2043,108411,1841225,16.9837470367398,"high income","high emissions"
"ABW",2044,108305,1915514,17.6862933382577,"high income","high emissions"
"ABW",2045,108200,1989782,18.3898521256932,"high income","high emissions"
"ABW",2046,108100,2173352,20.1050138760407,"high income","high emissions"
"ABW",2047,108012,2356915,21.8208624967596,"high income","high emissions"
"ABW",2048,107944,2540486,23.5352219669458,"high income","high emissions"
"ABW",2049,107904,2724066,25.2452735765125,"high income","high emissions"
"ABW",2050,107900,2907618,26.9473401297498,"high income","high emissions"
"AFG",2010,28422700,30595986,1.07646303834611,"low income","low emissions"
"AFG",2011,29351510,35796776,1.21958890701024,"low income","low emissions"
"AFG",2012,30388629,33214164,1.09298000906852,"low income","low emissions"
"AFG",2013,31493093,31200878,0.990721298793993,"low income","low emissions"
"AFG",2014,32623938,30927092,0.947987701546024,"low income","low emissions"
"AFG",2015,33740200,30524671,0.904697393613553,"low income","low emissions"
"AFG",2016,34811199,29118415,0.836466879523455,"low income","low emissions"
"AFG",2017,35847400,31599405,0.881497821320375,"low income","low emissions"
"AFG",2018,36869551,31708048,0.860006350497732,"low income","low emissions"
"AFG",2019,37898401,31243062,0.824389978880639,"low income","low emissions"
"AFG",2020,38954700,29247861,0.750817256967709,"low income","low emissions"
"AFG",2021,40054777,29627215,0.739667455894212,"low income","low emissions"
