"iso3c","year","pop","emissions","em_pc","income_class","emissions_class"
"ABW",2010,101900,1068684,10.4875760549558,"high income","high emissions"
"ABW",2011,102174,938828,9.18852154168379,"high income","middle emissions"
"ABW",2012,102559,1219301,11.8887762166168,"high income","high emissions"
"ABW",2013,103016,1244639,12.0819969713443,"high income","high emissions"
"ABW",2014,103509,1221309,11.7990609512216,"high income","high emissions"
"ABW",2015,104000,1220990,11.7402884615385,"high income","high emissions"
"ABW",2016,104458,1165649,11.1590208504854,"high income","high emissions"
"ABW",2017,104877,947408,9.03351545143358,"high income","middle emissions"
"ABW",2018,105257,921262,8.75250102130975,"high income","middle emissions"
"ABW",2019,105598,1026329,9.71920869713442,"high income","middle emissions"
"ABW",2020,105900,827613,7.81504249291785,"high income","middle emissions"
"ABW",2021,106164,849571,8.00243962171734,"high income","middle emissions"
"ABW",2022,106397,871495,8.19097342970197,"high income","middle emissions"
"ABW",2023,106609,893455,8.38067142548941,"high income","middle emissions"
"ABW",2024,106807,915435,8.57092699916672,"high income","middle emissions"
"ABW",2025,107000,937377,8.76053271028037,"high income","middle emissions"
"ABW",2026,107196,1016039,9.47832941527669,"high income","middle emissions"
"ABW",2027,107394,1094699,10.1932975771458,"high income","high emissions"
"ABW",2028,107595,1173360,10.9053394674474,"high income","high emissions"
"ABW",2029,107797,1252068,11.6150542222882,"high income","high emissions"
"ABW",2030,108000,1330722,12.3215,"high income","high emissions"
"ABW",2031,108201,1411488,13.0450550364599,"high income","high emissions"
"ABW",2032,108392,1492274,13.7673813565577,"high income","high emissions"
"ABW",2033,108562,1573057,14.4899412317385,"high income","high emissions"
"ABW",2034,108701,1653911,15.2152326105556,"high income","high emissions"
"ABW",2035,108800,1734686,15.9438051470588,"high income","high emissions"
"ABW",2036,108851,1894928,17.4084574326373,"high income","high emissions"
"ABW",2037,108859,2055172,18.8792107221268,"high income","high emissions"
"ABW",2038,108831,2215393,20.3562679751174,"high income","high emissions"
"ABW",2039,108775,2375623,21.8397885543553,"high income","high emissions"
"ABW",2040,108700,2535891,23.3292640294388,"high income","high emissions"
"ABW",2041,108612,2651292,24.4106728538283,"high income","high emissions"
"ABW",2042,108514,2766715,25.4963875628951,"high income","high emissions"
"ABW",2043,108411,2882161,26.5855033160842,"high income","high emissions"
"ABW",2044,108305,2997589,27.6772909837958,"high income","high emissions"
"ABW",2045,108200,3113027,28.7710443622921,"high income","high emissions"
"ABW",2046,108100,3334868,30.8498427382054,"high income","high emissions"
"ABW",2047,108012,3556700,32.9287486575566,"high income","high emissions"
"ABW",2048,107944,3778540,35.0046320314237,"high income","high emissions"
"ABW",2049,107904,4000351,37.0732410290629,"high income","high emissions"
"ABW",2050,107900,4222165,39.1303521779425,"high income","high emissions"
"AFG",2010,28422700,30595986,1.07646303834611,"low income","low emissions"
"AFG",2011,29351510,35796776,1.21958890701024,"low income","low emissions"
"AFG",2012,30388629,33214164,1.09298000906852,"low income","low emissions"
"AFG",2013,31493093,31200878,0.990721298793993,"low income","low emissions"
"AFG",2014,32623938,30927092,0.947987701546024,"low income","low emissions"
"AFG",2015,33740200,30524671,0.904697393613553,"low income","low emissions"
"AFG",2016,34811199,29118415,0.836466879523455,"low income","low emissions"
"AFG",2017,35847400,31599405,0.881497821320375,"low income","low emissions"
"AFG",2018,36869551,31708048,0.860006350497732,"low income","low emissions"
"AFG",2019,37898401,31243062,0.824389978880639,"low income","low emissions"
"AFG",2020,38954700,29247861,0.750817256967709,"low income","low emissions"
"AFG",2021,40054777,29740256,0.742489616157394,"low income","low emissions"
