asdf_id,gpw_v4_rev11_density.2020.mean,gpw_v4_rev11_count.2020.sum,Level,gqid,id,shapeGroup,shapeID,shapeName,shapeType
0,35.02362190492909,2648.09814453125,ADM2,0,0,COD,COD-ADM2-86626825B93719302,Aba,ADM2
1,7.2764593602910717,199150.19140625,ADM2,1,1,COD,COD-ADM2-86626825B13262745,Aketi,ADM2
2,2.7471168855849926,94445.56181335449,ADM2,2,2,COD,COD-ADM2-86626825B34231044,Ango,ADM2
3,120.81185047500253,683.0682373046875,ADM2,3,3,COD,COD-ADM2-86626825B81541828,Ariwara,ADM2
4,121.67007863880528,844480.75,ADM2,4,4,COD,COD-ADM2-86626825B57232266,Aru,ADM2
5,4.6097795165790361,224131.998046875,ADM2,5,5,COD,COD-ADM2-86626825B99601884,Bafwasende,ADM2
6,8.402502999100529,141596.4375,ADM2,6,6,COD,COD-ADM2-86626825B72560046,Bagata,ADM2
7,11.737005732614955,116084.6875,ADM2,7,7,COD,COD-ADM2-86626825B58167348,Bambesa,ADM2
8,11.245421557328637,264330.623046875,ADM2,8,8,COD,COD-ADM2-86626825B46914180,Banalia,ADM2
9,556.0763479257607,185444.5,ADM2,9,9,COD,COD-ADM2-86626825B99274341,Bandundu,ADM2
10,26.35891238015856,1938.211669921875,ADM2,10,10,COD,COD-ADM2-86626825B82174662,Bangu,ADM2
11,44.027673059695765,92.30892181396484,ADM2,11,11,COD,COD-ADM2-86626825B2702102,Baraka,ADM2
12,17.958342034770666,299365.625,ADM2,12,12,COD,COD-ADM2-86626825B11761166,Basankusu,ADM2
13,12.413543099605356,275151.34375,ADM2,13,13,COD,COD-ADM2-86626825B39617058,Basoko,ADM2
14,10.750456673130214,192025.625,ADM2,14,14,COD,COD-ADM2-86626825B98303281,Befale,ADM2
15,NA,NA,ADM2,15,15,COD,COD-ADM2-86626825B41873747,Bena-Dibele,ADM2
16,4760.495345799924,1738976.625,ADM2,16,16,COD,COD-ADM2-86626825B44640056,Beni,ADM2
17,22.37617294805722,262078.1875,ADM2,17,17,COD,COD-ADM2-86626825B98139803,Bikoro,ADM2
18,16.09592555701918,298863.4375,ADM2,18,18,COD,COD-ADM2-86626825B57654491,Boende,ADM2
19,11.568750364189084,235767.265625,ADM2,19,19,COD,COD-ADM2-86626825B43677607,Bokungu,ADM2
20,28.60145337624338,114950.0390625,ADM2,20,20,COD,COD-ADM2-86626825B69507795,Bolobo,ADM2
21,15.722170942148265,370984.8046875,ADM2,21,21,COD,COD-ADM2-86626825B67049042,Bolomba,ADM2
22,1435.7552477429072,199722.8125,ADM2,22,22,COD,COD-ADM2-86626825B53615256,Boma,ADM2
23,8.9959954783684495,141241.01171875,ADM2,23,23,COD,COD-ADM2-86626825B61401888,Bomongo,ADM2
24,6.2669070472744961,234746.5390625,ADM2,24,24,COD,COD-ADM2-86626825B55451683,Bondo,ADM2
25,25.76679011536249,615464.015625,ADM2,25,25,COD,COD-ADM2-86626825B84874999,Bongandanga,ADM2
26,22.780071636231323,289062.5,ADM2,26,26,COD,COD-ADM2-86626825B85202061,Bosobolo,ADM2
