"","orig.dest","orig","dest","year","orig_code","dest_code","flows","contig","comlang_off","colony","dist","col45","landlocked_orig","landlocked_dest","gdp_pc_dest","gdp_pc_orig","population_dest","population_orig"
"1","AFG_AUS","AFG","AUS",2000,4,36,887,0,0,0,11433.49,0,1,0,36510.1629185009,1034.02840908503,18991434,20779957
"2","AFG_AUS","AFG","AUS",2005,4,36,6934,0,0,0,11433.49,0,1,0,40542.4981461435,1179.49980604848,20178543,25654274
"3","AFG_AUS","AFG","AUS",2010,4,36,11372,0,0,0,11433.49,0,1,0,42588.4509885439,1663.15279445656,22154687,29185511
"4","AFG_AUS","AFG","AUS",2015,4,36,14840,0,0,0,11433.49,0,1,0,45369.3103353939,1863.49992949756,23932499,34413603
"5","AFG_AUS","AFG","AUS",2020,4,36,12753,0,0,0,11433.49,0,1,0,46255.9119868882,1690.76765769726,25499881,38928341
"6","ALB_AUS","ALB","AUS",2000,8,36,64,0,0,0,15722.44,0,0,0,36510.1629185009,5384.85664749958,18991434,3129246
"7","ALB_AUS","ALB","AUS",2005,8,36,827,0,0,0,15722.44,0,0,0,40542.4981461435,7244.37161981602,20178543,3086810
"8","ALB_AUS","ALB","AUS",2010,8,36,667,0,0,0,15722.44,0,0,0,42588.4509885439,9833.72251286372,22154687,2948029
"9","ALB_AUS","ALB","AUS",2015,8,36,571,0,0,0,15722.44,0,0,0,45369.3103353939,10811.4165443525,23932499,2890524
"10","ALB_AUS","ALB","AUS",2020,8,36,330,0,0,0,15722.44,0,0,0,46255.9119868882,12106.2933891725,25499881,2877800
"11","ARE_AUS","ARE","AUS",2000,784,36,3,0,0,0,12092.16,0,0,0,36510.1629185009,125270.515805442,18991434,3134067
"12","ARE_AUS","ARE","AUS",2005,784,36,31,0,0,0,12092.16,0,0,0,40542.4981461435,111429.130143152,20178543,4588222
"13","ARE_AUS","ARE","AUS",2010,784,36,23,0,0,0,12092.16,0,0,0,42588.4509885439,68467.4411129553,22154687,8549998
"14","ARE_AUS","ARE","AUS",2015,784,36,48,0,0,0,12092.16,0,0,0,45369.3103353939,79591.1216997839,23932499,9262896
"15","ARE_AUS","ARE","AUS",2020,784,36,590,0,0,0,12092.16,0,0,0,46255.9119868882,73789.0110722823,25499881,9890400
"16","ARG_AUS","ARG","AUS",2000,32,36,84,0,0,0,11801.36,0,0,0,36510.1629185009,14527.7310290794,18991434,36870796
"17","ARG_AUS","ARG","AUS",2005,32,36,1217,0,0,0,11801.36,0,0,0,40542.4981461435,15131.0840372482,20178543,38892924
"18","ARG_AUS","ARG","AUS",2010,32,36,981,0,0,0,11801.36,0,0,0,42588.4509885439,18244.4520688904,22154687,40895751
"19","ARG_AUS","ARG","AUS",2015,32,36,908,0,0,0,11801.36,0,0,0,45369.3103353939,18641.9727802562,23932499,43075416
"20","ARG_AUS","ARG","AUS",2020,32,36,1004,0,0,0,11801.36,0,0,0,46255.9119868882,15407.891993124,25499881,45195777
"21","ARM_AUS","ARM","AUS",2000,51,36,24,0,0,0,13666.9,0,1,0,36510.1629185009,3286.86537999942,18991434,3069597
"22","ARM_AUS","ARM","AUS",2005,51,36,130,0,0,0,13666.9,0,1,0,40542.4981461435,6094.35135035839,20178543,2981262
"23","ARM_AUS","ARM","AUS",2010,51,36,158,0,0,0,13666.9,0,1,0,42588.4509885439,7563.16996348934,22154687,2877314
"24","ARM_AUS","ARM","AUS",2015,51,36,155,0,0,0,13666.9,0,1,0,45369.3103353939,9378.15016241617,23932499,2925559
"25","ARM_AUS","ARM","AUS",2020,51,36,94,0,0,0,13666.9,0,1,0,46255.9119868882,10678.856129581,25499881,2963234
"26","ATG_AUS","ATG","AUS",2000,28,36,1,0,1,0,16255.91,0,0,0,36510.1629185009,19332.1626757904,18991434,76007
"27","ATG_AUS","ATG","AUS",2005,28,36,6,0,1,0,16255.91,0,0,0,40542.4981461435,20714.0261441146,20178543,81462
"28","ATG_AUS","ATG","AUS",2010,28,36,1,0,1,0,16255.91,0,0,0,42588.4509885439,19559.51730084,22154687,88030
"29","ATG_AUS","ATG","AUS",2015,28,36,3,0,1,0,16255.91,0,0,0,45369.3103353939,20028.5552951866,23932499,93571
"30","ATG_AUS","ATG","AUS",2020,28,36,6,0,1,0,16255.91,0,0,0,46255.9119868882,19425.7169089977,25499881,97928
"31","AUT_AUS","AUT","AUS",2000,40,36,130,0,0,0,15988.95,0,1,0,36510.1629185009,38647.0206418523,18991434,8069276
"32","AUT_AUS","AUT","AUS",2005,40,36,710,0,0,0,15988.95,0,1,0,40542.4981461435,41240.8607287988,20178543,8253656
"33","AUT_AUS","AUT","AUS",2010,40,36,803,0,0,0,15988.95,0,1,0,42588.4509885439,43180.1571961589,22154687,8409945
"34","AUT_AUS","AUT","AUS",2015,40,36,645,0,0,0,15988.95,0,1,0,45369.3103353939,44013.2519161321,23932499,8678667
"35","AUT_AUS","AUT","AUS",2020,40,36,397,0,0,0,15988.95,0,1,0,46255.9119868882,44117.559996143,25499881,9006400
"36","AZE_AUS","AZE","AUS",2000,31,36,16,0,0,0,13244.84,0,1,0,36510.1629185009,4422.67382210056,18991434,8122743
