country,sex,age_lfs,edu_lfs,national,oecd,regionb,oecdb,fborn,number
AUS,1,0,99,0,1,AFRI,0,1,7501
AUS,1,0,99,1,1,AFRI,0,1,8068
AUS,1,0,99,99,1,AFRI,0,1,392
AUS,1,1,1,0,1,AFRI,0,1,1867
AUS,1,1,2,0,1,AFRI,0,1,4282
AUS,1,1,3,0,1,AFRI,0,1,1072
AUS,1,1,99,0,1,AFRI,0,1,458
AUS,1,1,1,1,1,AFRI,0,1,3454
AUS,1,1,2,1,1,AFRI,0,1,10719
AUS,1,1,3,1,1,AFRI,0,1,2438
AUS,1,1,99,1,1,AFRI,0,1,826
AUS,1,1,1,99,1,AFRI,0,1,113
AUS,1,1,2,99,1,AFRI,0,1,365
AUS,1,1,3,99,1,AFRI,0,1,79
AUS,1,1,99,99,1,AFRI,0,1,217
AUS,1,2,1,0,1,AFRI,0,1,1782
AUS,1,2,2,0,1,AFRI,0,1,9798
AUS,1,2,3,0,1,AFRI,0,1,19906
AUS,1,2,99,0,1,AFRI,0,1,2237
AUS,1,2,1,1,1,AFRI,0,1,4179
AUS,1,2,2,1,1,AFRI,0,1,26010
AUS,1,2,3,1,1,AFRI,0,1,55448
AUS,1,2,99,1,1,AFRI,0,1,4973
AUS,1,2,1,99,1,AFRI,0,1,73
AUS,1,2,2,99,1,AFRI,0,1,701
AUS,1,2,3,99,1,AFRI,0,1,1528
AUS,1,2,99,99,1,AFRI,0,1,656
AUS,1,3,1,0,1,AFRI,0,1,201
AUS,1,3,2,0,1,AFRI,0,1,708
AUS,1,3,3,0,1,AFRI,0,1,777
AUS,1,3,99,0,1,AFRI,0,1,180
AUS,1,3,1,1,1,AFRI,0,1,2453
AUS,1,3,2,1,1,AFRI,0,1,7600
AUS,1,3,3,1,1,AFRI,0,1,8816
AUS,1,3,99,1,1,AFRI,0,1,2176
AUS,1,3,1,99,1,AFRI,0,1,48
AUS,1,3,2,99,1,AFRI,0,1,169
AUS,1,3,3,99,1,AFRI,0,1,149
AUS,1,3,99,99,1,AFRI,0,1,104
AUS,2,0,99,0,1,AFRI,0,1,7359
AUS,2,0,99,1,1,AFRI,0,1,7802
AUS,2,0,99,99,1,AFRI,0,1,374
AUS,2,1,1,0,1,AFRI,0,1,1958
AUS,2,1,2,0,1,AFRI,0,1,4119
AUS,2,1,3,0,1,AFRI,0,1,1432
AUS,2,1,99,0,1,AFRI,0,1,478
AUS,2,1,1,1,1,AFRI,0,1,3098
