coub,sex,age_lfs,edu_lfs,national,oecd,regionb,oecdb,fborn,number
ABW,1,0,99,1,1,SCAC,0,1,24
ABW,1,0,99,99,1,SCAC,0,1,1
ABW,1,1,1,0,1,SCAC,0,1,79
ABW,1,1,2,0,1,SCAC,0,1,112
ABW,1,1,3,0,1,SCAC,0,1,30
ABW,1,1,1,1,1,SCAC,0,1,50
ABW,1,1,2,1,1,SCAC,0,1,796
ABW,1,1,1,99,1,SCAC,0,1,1
ABW,1,2,1,0,1,SCAC,0,1,443
ABW,1,2,2,0,1,SCAC,0,1,3182
ABW,1,2,3,0,1,SCAC,0,1,2255
ABW,1,2,1,1,1,SCAC,0,1,686
ABW,1,2,2,1,1,SCAC,0,1,2116
ABW,1,2,3,1,1,SCAC,0,1,2542
ABW,1,2,3,99,1,SCAC,0,1,2
ABW,1,2,99,99,1,SCAC,0,1,1
ABW,1,3,1,0,1,SCAC,0,1,454
ABW,1,3,2,0,1,SCAC,0,1,4
ABW,1,3,3,0,1,SCAC,0,1,13
ABW,1,3,1,1,1,SCAC,0,1,151
ABW,1,3,2,1,1,SCAC,0,1,70
ABW,1,3,3,1,1,SCAC,0,1,90
ABW,1,3,99,99,1,SCAC,0,1,2
ABW,2,0,1,0,1,SCAC,0,1,3
ABW,2,0,99,0,1,SCAC,0,1,4
ABW,2,0,99,1,1,SCAC,0,1,242
ABW,2,0,99,99,1,SCAC,0,1,1
ABW,2,1,1,0,1,SCAC,0,1,89
ABW,2,1,2,0,1,SCAC,0,1,154
ABW,2,1,3,0,1,SCAC,0,1,18
ABW,2,1,1,1,1,SCAC,0,1,161
ABW,2,1,2,1,1,SCAC,0,1,379
ABW,2,1,3,1,1,SCAC,0,1,213
ABW,2,1,1,99,1,SCAC,0,1,1
ABW,2,2,1,0,1,SCAC,0,1,447
ABW,2,2,2,0,1,SCAC,0,1,3426
ABW,2,2,3,0,1,SCAC,0,1,3705
ABW,2,2,1,1,1,SCAC,0,1,825
ABW,2,2,2,1,1,SCAC,0,1,2059
ABW,2,2,3,1,1,SCAC,0,1,3693
ABW,2,2,3,99,1,SCAC,0,1,3
ABW,2,2,99,99,1,SCAC,0,1,1
ABW,2,3,1,0,1,SCAC,0,1,114
ABW,2,3,3,0,1,SCAC,0,1,10
ABW,2,3,1,1,1,SCAC,0,1,108
ABW,2,3,2,1,1,SCAC,0,1,120
ABW,2,3,3,1,1,SCAC,0,1,249
ABW,2,3,3,99,1,SCAC,0,1,1
AFG,1,0,1,0,1,ASIA,0,1,26130
AFG,1,0,2,0,1,ASIA,0,1,7
AFG,1,0,99,0,1,ASIA,0,1,8649
AFG,1,0,1,1,1,ASIA,0,1,1321
AFG,1,0,99,1,1,ASIA,0,1,3924
AFG,1,0,1,99,1,ASIA,0,1,3694
AFG,1,0,99,99,1,ASIA,0,1,5042
AFG,1,1,1,0,1,ASIA,0,1,52986
AFG,1,1,2,0,1,ASIA,0,1,11647
AFG,1,1,3,0,1,ASIA,0,1,1737
AFG,1,1,99,0,1,ASIA,0,1,10134
AFG,1,1,1,1,1,ASIA,0,1,7495
AFG,1,1,2,1,1,ASIA,0,1,9513
AFG,1,1,3,1,1,ASIA,0,1,2895
AFG,1,1,99,1,1,ASIA,0,1,776
AFG,1,1,1,99,1,ASIA,0,1,12994
AFG,1,1,2,99,1,ASIA,0,1,2384
AFG,1,1,3,99,1,ASIA,0,1,59
AFG,1,1,99,99,1,ASIA,0,1,153
AFG,1,2,1,0,1,ASIA,0,1,51577
AFG,1,2,2,0,1,ASIA,0,1,25178
AFG,1,2,3,0,1,ASIA,0,1,18596
AFG,1,2,99,0,1,ASIA,0,1,6728
AFG,1,2,1,1,1,ASIA,0,1,29764
AFG,1,2,2,1,1,ASIA,0,1,38600
AFG,1,2,3,1,1,ASIA,0,1,35313
AFG,1,2,99,1,1,ASIA,0,1,3136
AFG,1,2,1,99,1,ASIA,0,1,18045
AFG,1,2,2,99,1,ASIA,0,1,6410
AFG,1,2,3,99,1,ASIA,0,1,2478
AFG,1,2,99,99,1,ASIA,0,1,306
AFG,1,3,1,0,1,ASIA,0,1,2703
AFG,1,3,2,0,1,ASIA,0,1,548
AFG,1,3,3,0,1,ASIA,0,1,1056
AFG,1,3,99,0,1,ASIA,0,1,239
AFG,1,3,1,1,1,ASIA,0,1,2996
AFG,1,3,2,1,1,ASIA,0,1,2794
AFG,1,3,3,1,1,ASIA,0,1,5953
AFG,1,3,99,1,1,ASIA,0,1,131
AFG,1,3,1,99,1,ASIA,0,1,454
AFG,1,3,2,99,1,ASIA,0,1,152
AFG,1,3,3,99,1,ASIA,0,1,8
AFG,1,3,99,99,1,ASIA,0,1,243
AFG,2,0,1,0,1,ASIA,0,1,22233
AFG,2,0,3,0,1,ASIA,0,1,1
AFG,2,0,99,0,1,ASIA,0,1,6121
AFG,2,0,1,1,1,ASIA,0,1,724
AFG,2,0,99,1,1,ASIA,0,1,3008
AFG,2,0,1,99,1,ASIA,0,1,2855
AFG,2,0,99,99,1,ASIA,0,1,4385
AFG,2,1,1,0,1,ASIA,0,1,15128
AFG,2,1,2,0,1,ASIA,0,1,6449
AFG,2,1,3,0,1,ASIA,0,1,1617
AFG,2,1,99,0,1,ASIA,0,1,2801
AFG,2,1,1,1,1,ASIA,0,1,5036
AFG,2,1,2,1,1,ASIA,0,1,8983
AFG,2,1,3,1,1,ASIA,0,1,3332
AFG,2,1,99,1,1,ASIA,0,1,458
AFG,2,1,1,99,1,ASIA,0,1,3668
AFG,2,1,2,99,1,ASIA,0,1,272
AFG,2,1,3,99,1,ASIA,0,1,671
AFG,2,1,99,99,1,ASIA,0,1,74
AFG,2,2,1,0,1,ASIA,0,1,42392
AFG,2,2,2,0,1,ASIA,0,1,15122
AFG,2,2,3,0,1,ASIA,0,1,10054
AFG,2,2,99,0,1,ASIA,0,1,4585
AFG,2,2,1,1,1,ASIA,0,1,28133
AFG,2,2,2,1,1,ASIA,0,1,31414
AFG,2,2,3,1,1,ASIA,0,1,25865
AFG,2,2,99,1,1,ASIA,0,1,2265
AFG,2,2,1,99,1,ASIA,0,1,13403
AFG,2,2,2,99,1,ASIA,0,1,1088
AFG,2,2,3,99,1,ASIA,0,1,2240
AFG,2,2,99,99,1,ASIA,0,1,189
AFG,2,3,1,0,1,ASIA,0,1,3773
AFG,2,3,2,0,1,ASIA,0,1,116
AFG,2,3,3,0,1,ASIA,0,1,633
AFG,2,3,99,0,1,ASIA,0,1,386
AFG,2,3,1,1,1,ASIA,0,1,5228
