"year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
2000,"AUS",8378,9962,7670,12701,13471,13615,14790,80586
2000,"AUT",3846,3750,1369,4148,6298,3560,3980,26951
2000,"BEL",2814,2737,2632,7639,3582,4868,12198,36470
2000,"BGR",0,0,0,0,0,0,0,0
2000,"CAN",13430,19390,23276,17619,23398,41139,20392,158644
2000,"CHE",2257,2859,2407,5063,7082,6360,8954,34982
2000,"CHL",0,0,0,0,0,0,0,0
2000,"CYP",0,0,0,0,0,0,0,0
2000,"CZE",49,87,30,74,161,61,138,601
2000,"DEU",0,0,0,0,0,0,0,0
2000,"DNK",2255,1851,844,1348,2377,2161,3658,14494
2000,"ESP",85094,34082,20072,55827,20957,20126,14034,250192
2000,"EST",0,0,0,0,0,0,0,0
2000,"FIN",1351,578,251,809,351,392,150,3882
2000,"FRA",7986,6418,4526,16187,9601,9215,6590,60522
2000,"GBR",7565,9992,17772,12934,6692,17282,13262,85499
2000,"GRC",0,0,0,0,0,0,0,0
2000,"HUN",1201,2156,583,1346,1925,1259,2193,10662
2000,"IRL",774,758,952,1334,998,1127,778,6721
2000,"ISL",0,0,0,0,0,0,0,0
2000,"ISR",0,0,0,0,0,0,0,0
2000,"ITA",34554,20303,4296,25691,14734,6066,4736,110380
2000,"JPN",20791,45149,27248,13621,22860,27164,40222,197054
2000,"LTU",0,0,0,0,0,0,0,0
2000,"LUX",474,1177,746,1126,1436,1106,1766,7831
2000,"LVA",0,0,0,0,0,0,0,0
2000,"MEX",0,0,0,0,0,0,0,0
2000,"MLT",0,0,0,0,0,0,0,0
2000,"NLD",680,310,0,9638,9834,7486,1409,29357
2000,"NOR",842,2522,974,1058,3228,2762,7846,19231
2000,"NZL",1030,5384,2761,1950,5536,5264,6072,27998
2000,"POL",366,620,418,353,1102,1210,1638,5707
2000,"PRT",3142,1538,807,2694,875,980,992,11028
2000,"ROU",0,0,0,0,0,0,0,0
2000,"RUS",0,0,0,0,0,0,0,0
2000,"SVK",0,0,0,0,0,0,0,0
2000,"SVN",0,0,0,0,0,0,0,0
2000,"SWE",2564,3586,2502,3365,5865,4392,5172,27446
2000,"TUR",0,0,0,0,0,0,0,0
2000,"USA",93779,89691,61172,100535,95806,101962,56791,599738
2005,"AUS",20195,70466,67054,44419,96335,102394,107430,508294
2005,"AUT",0,0,0,0,0,0,0,0
2005,"BEL",0,0,0,0,0,0,0,0
2005,"BGR",0,0,0,0,0,0,0,0
2005,"CAN",52642,93400,138031,60683,125066,283123,112464,865410
2005,"CHE",0,0,0,0,0,0,0,0
2005,"CHL",0,0,0,0,0,0,0,0
2005,"CYP",0,0,0,0,0,0,0,0
2005,"CZE",0,0,0,0,0,0,0,0
2005,"DEU",0,0,0,0,0,0,1295161,1295161
2005,"DNK",8990,6718,3949,5433,11353,10921,19585,66949
2005,"ESP",101353,41242,7577,282909,190606,77364,12690,713740
2005,"EST",0,0,0,0,0,0,0,0
2005,"FIN",8453,2826,1822,5724,2574,2925,932,25255
2005,"FRA",49723,45697,38556,107092,68958,64941,56122,431089
2005,"GBR",2512,3108,3924,25986,15188,52333,28950,132001
2005,"GRC",0,0,0,0,0,0,0,0
2005,"HUN",0,0,0,0,0,0,0,0
2005,"IRL",3295,2935,3737,6790,5498,7122,4064,33441
2005,"ISL",0,0,0,0,0,0,0,0
2005,"ISR",5153,7954,4416,5316,5030,10690,6909,45467
2005,"ITA",57382,19563,544,152553,158514,23838,8807,421201
2005,"JPN",99166,208482,131077,75541,141286,159909,225350,1040811
2005,"LTU",0,0,0,0,0,0,0,0
2005,"LUX",1510,781,206,10535,5604,5246,1848,25730
2005,"LVA",0,0,0,0,0,0,0,0
2005,"MEX",0,0,0,0,0,0,0,0
2005,"MLT",0,0,0,0,0,0,0,0
2005,"NLD",0,0,0,0,0,0,0,0
2005,"NOR",0,0,0,0,0,0,86777,86777
2005,"NZL",8288,54983,37418,16302,57254,53327,50327,277899
2005,"POL",133,0,0,2286,3010,558,3993,9980
2005,"PRT",0,0,0,0,0,0,0,0
2005,"ROU",0,0,0,0,0,0,0,0
2005,"RUS",0,0,0,0,0,0,0,0
2005,"SVK",0,0,0,0,0,0,0,0
2005,"SVN",0,0,0,0,0,0,0,0
