"year","dest","flow_pri_15_34","flow_sec_15_34","flow_ter_15_34","flow_pri_35_64","flow_sec_35_64","flow_ter_35_64","flow_others","flow_total"
2000,"AUS",12566,14942,11506,19051,20207,20423,22184,120880
2000,"AUT",5770,5624,2053,6222,9448,5340,5970,40427
2000,"BEL",4222,4105,3948,11459,5374,7302,18296,54706
2000,"BGR",0,0,0,0,0,0,0,0
2000,"CAN",20146,29084,34914,26429,35096,61709,30588,237966
2000,"CHE",3385,4289,3611,7595,10622,9540,13430,52472
2000,"CHL",0,0,0,0,0,0,0,0
2000,"CYP",0,0,0,0,0,0,0,0
2000,"CZE",73,131,46,112,241,91,208,901
2000,"DEU",0,0,0,0,0,0,0,0
2000,"DNK",3383,2777,1266,2022,3565,3241,5488,21742
2000,"ESP",127640,51124,30108,83741,31435,30190,21050,375288
2000,"EST",0,0,0,0,0,0,0,0
2000,"FIN",2027,868,377,1213,527,588,224,5824
2000,"FRA",11978,9626,6788,24281,14401,13823,9886,90784
2000,"GBR",11347,14988,26658,19402,10038,25924,19892,128249
2000,"GRC",0,0,0,0,0,0,0,0
2000,"HUN",1801,3234,875,2018,2887,1889,3289,15994
2000,"IRL",1160,1138,1428,2002,1496,1691,1166,10081
2000,"ISL",0,0,0,0,0,0,0,0
2000,"ISR",0,0,0,0,0,0,0,0
2000,"ITA",51832,30455,6444,38537,22100,9098,7104,165570
2000,"JPN",31187,67723,40872,20431,34290,40746,60332,295582
2000,"LTU",0,0,0,0,0,0,0,0
2000,"LUX",712,1765,1120,1690,2154,1658,2648,11747
2000,"LVA",0,0,0,0,0,0,0,0
2000,"MEX",0,0,0,0,0,0,0,0
2000,"MLT",0,0,0,0,0,0,0,0
2000,"NLD",1020,464,0,14458,14752,11228,2113,44035
2000,"NOR",1264,3782,1460,1586,4842,4144,11768,28847
2000,"NZL",1546,8076,4141,2926,8304,7896,9108,41996
2000,"POL",550,930,628,529,1652,1814,2458,8561
2000,"PRT",4712,2306,1211,4042,1313,1470,1488,16542
2000,"ROU",0,0,0,0,0,0,0,0
2000,"RUS",0,0,0,0,0,0,0,0
2000,"SVK",0,0,0,0,0,0,0,0
2000,"SVN",0,0,0,0,0,0,0,0
2000,"SWE",3846,5380,3752,5047,8797,6588,7758,41168
2000,"TUR",0,0,0,0,0,0,0,0
2000,"USA",140669,134537,91758,150803,143710,152944,85187,899606
2005,"AUS",30293,105700,100582,66629,144503,153592,161144,762442
2005,"AUT",0,0,0,0,0,0,0,0
2005,"BEL",0,0,0,0,0,0,0,0
2005,"BGR",0,0,0,0,0,0,0,0
2005,"CAN",78964,140100,207047,91025,187598,424685,168696,1298114
2005,"CHE",0,0,0,0,0,0,0,0
2005,"CHL",0,0,0,0,0,0,0,0
2005,"CYP",0,0,0,0,0,0,0,0
2005,"CZE",0,0,0,0,0,0,0,0
2005,"DEU",0,0,0,0,0,0,1942741,1942741
2005,"DNK",13486,10078,5923,8149,17029,16381,29377,100423
2005,"ESP",152029,61864,11365,424363,285908,116046,19034,1070610
2005,"EST",0,0,0,0,0,0,0,0
2005,"FIN",12679,4240,2732,8586,3860,4387,1398,37883
2005,"FRA",74585,68545,57834,160638,103436,97411,84184,646633
2005,"GBR",3768,4662,5886,38980,22782,78499,43424,198001
2005,"GRC",0,0,0,0,0,0,0,0
2005,"HUN",0,0,0,0,0,0,0,0
2005,"IRL",4943,4403,5605,10186,8246,10682,6096,50161
2005,"ISL",0,0,0,0,0,0,0,0
2005,"ISR",7729,11932,6624,7974,7544,16034,10363,68201
2005,"ITA",86072,29345,816,228829,237772,35756,13211,631801
2005,"JPN",148750,312722,196615,113311,211930,239863,338026,1561217
2005,"LTU",0,0,0,0,0,0,0,0
2005,"LUX",2264,1171,310,15803,8406,7870,2772,38596
2005,"LVA",0,0,0,0,0,0,0,0
2005,"MEX",0,0,0,0,0,0,0,0
2005,"MLT",0,0,0,0,0,0,0,0
2005,"NLD",0,0,0,0,0,0,0,0
2005,"NOR",0,0,0,0,0,0,130165,130165
2005,"NZL",12432,82475,56126,24454,85880,79991,75491,416849
2005,"POL",199,0,0,3430,4516,836,5989,14970
2005,"PRT",0,0,0,0,0,0,0,0
2005,"ROU",0,0,0,0,0,0,0,0
2005,"RUS",0,0,0,0,0,0,0,0
2005,"SVK",0,0,0,0,0,0,0,0
2005,"SVN",0,0,0,0,0,0,0,0
2005,"SWE",18689,26380,18847,24907,46482,37657,62336,235298
2005,"TUR",0,0,0,0,0,0,0,0
2005,"USA",538916,718555,542285,718858,958279,1081853,590183,5148929
2010,"AUS",37506,141660,173903,82790,182240,229558,285296,1132954
2010,"AUT",28984,59407,25186,24176,92736,57436,81604,369528
2010,"BEL",25481,21655,17262,63204,36770,40771,274918,480061
2010,"BGR",0,0,0,0,0,0,0,0
2010,"CAN",61319,126494,206437,80741,183334,457919,289510,1405753
2010,"CHE",29886,51152,53737,64805,99229,128173,110820,537803
2010,"CHL",0,0,0,0,0,0,0,0
2010,"CYP",0,0,0,0,0,0,0,0
2010,"CZE",7682,6923,2236,6791,10962,4259,44999,83851
2010,"DEU",45174,222563,376003,187961,541763,373837,420433,2167734
2010,"DNK",11442,8718,8466,8888,20684,19494,77164,154856
2010,"ESP",647148,411182,226277,722886,460331,373696,583094,3424614
2010,"EST",0,0,0,0,0,0,0,0
2010,"FIN",18845,5474,4781,12605,5695,6313,8579,62292
2010,"FRA",81127,73867,68029,178820,113909,109572,147862,773186
2010,"GBR",62911,87132,225642,128381,87520,238243,181771,1011600
2010,"GRC",0,0,0,0,0,0,0,0
2010,"HUN",4990,14010,6814,6062,24749,12420,25606,94650
2010,"IRL",2189,3004,2218,4616,6569,6606,7679,32880
2010,"ISL",4862,6625,2941,3221,5424,2902,4627,30602
2010,"ISR",4793,10021,5942,5017,7163,15689,7967,56592
2010,"ITA",367072,323555,65953,368050,398106,93178,190861,1806774
2010,"JPN",122658,301081,148541,67135,108479,154913,382858,1285664
2010,"LTU",0,0,0,0,0,0,0,0
2010,"LUX",5240,6142,6638,13308,9560,13069,30973,84931
2010,"LVA",0,0,0,0,0,0,0,0
2010,"MEX",0,0,0,0,0,0,0,0
2010,"MLT",0,0,0,0,0,0,0,0
2010,"NLD",47837,46158,40741,69463,83862,92447,77116,457624
2010,"NOR",31848,23774,25914,25778,35839,41330,86374,270858
2010,"NZL",39475,33202,54568,33408,61440,77177,105715,404984
2010,"POL",5144,8945,6526,2996,11460,11809,51743,98623
2010,"PRT",37805,28553,9774,47520,24606,18877,33341,200476
2010,"ROU",0,0,0,0,0,0,0,0
2010,"RUS",0,0,0,0,0,0,0,0
2010,"SVK",0,0,0,0,0,0,0,0
2010,"SVN",0,0,0,0,0,0,0,0
2010,"SWE",33886,46168,38308,35754,70259,63180,129624,417178
2010,"TUR",0,0,0,0,0,0,0,0
2010,"USA",538097,814787,598063,764617,1131006,1271837,1036913,6155320
2015,"AUS",26597,171110,271283,67054,190589,252145,337330,1316107
2015,"AUT",0,0,0,0,0,0,0,0
2015,"BEL",0,0,0,0,0,0,0,0
2015,"BGR",0,0,0,0,0,0,0,0
2015,"CAN",48917,108155,205724,56312,160043,474924,406571,1460646
2015,"CHE",0,0,0,0,0,0,0,0
2015,"CHL",0,0,0,0,0,0,0,0
2015,"CYP",0,0,0,0,0,0,0,0
2015,"CZE",0,0,0,0,0,0,0,0
2015,"DEU",0,0,0,0,0,0,3033836,3033836
2015,"DNK",12550,7435,9047,10937,22561,21028,138190,221747
2015,"ESP",46546,25819,21283,49426,39500,11030,168448,362052
2015,"EST",0,0,0,0,0,0,0,0
2015,"FIN",18410,5060,5908,12400,6089,6647,22351,76865
2015,"FRA",70841,66730,78089,157632,102968,102953,223834,803046
2015,"GBR",7220,11026,127010,13931,11928,45647,34038,250800
2015,"GRC",0,0,0,0,0,0,0,0
2015,"HUN",0,0,0,0,0,0,0,0
2015,"IRL",1182,1926,1088,2790,5378,5154,8042,25561
2015,"ISL",0,0,0,0,0,0,0,0
2015,"ISR",4354,9546,7837,3485,9668,19866,8530,63286
2015,"ITA",67386,114259,121420,67798,111000,11147,93383,586392
2015,"JPN",114682,348376,143291,56660,83719,123179,394787,1264693
2015,"LTU",0,0,0,0,0,0,0,0
2015,"LUX",1973,2911,10020,6601,2903,5599,26886,56893
2015,"LVA",0,0,0,0,0,0,0,0
2015,"MEX",0,0,0,0,0,0,0,0
2015,"MLT",0,0,0,0,0,0,0,0
2015,"NLD",0,0,0,0,0,0,0,0
2015,"NOR",0,0,0,0,0,0,299794,299794
2015,"NZL",79908,23785,74322,32315,45316,68690,102191,426527
