"ccode","country","continent","population_2022","population_2023","internet_poor_share_2022","internet_poor_share_2023","internet_poor_2022","internet_poor_2023","pop_delta_abs","share_delta_abs","internet_poor_delta_abs","pop_delta_pct","share_delta_pct","internet_poor_delta_pct"
"AFG","Afghanistan","Asia",41423950,42376419,0.428326791788659,0.00012061,17742988,5111,952469,-0.428206181788659,-17737877,2.29931959651361,-99.9718415933086,-99.9711942543161
"AGO","Angola","Africa",34195378,35068397,0.833219126107875,0.421346063,28492243,14775931,873019,-0.411873063107875,-13716312,2.5530321670958,-49.4315421000731,-48.140513191608
"ALB","Albania","Europe",2920781,2836047,0.000669184859674932,0.005588412,1955,15849,-84734,0.00491922714032507,13894,-2.9010733772919,735.107357735898,710.690537084399
"ARE","United Arab Emirates","Asia",10466558,10629126,0.00351945606160387,0.004174567,36837,44372,162568,0.00065511093839613,7535,1.55321357794989,18.6139825850699,20.4549773325732
"ARG","Argentina","Americas",46654079,46588110,0.0551624494121338,0.049916127,2573553,2325498,-65969,-0.0052463224121338,-248055,-0.14140028356363,-9.51067704216158,-9.63862022658946
"ARM","Armenia","Asia",2876010,2857331,0.0110261600501174,0.016594157,31711,47415,-18679,0.0055679969498826,15704,-0.649476184018832,50.4980602909289,49.5222478004478
"AUS","Australia","Oceania",25654996,25914001,0.00290112514438545,0.003887242,74428,100734,259005,0.00098611685561455,26306,1.00956944214686,33.9908417092239,35.3442252915569
"AUT","Austria","Europe",8831770,8852669,0.00396014731585403,0.003845168,34975,34040,20899,-0.00011497931585403,-935,0.236634332642268,-2.90341006744175,-2.67333809864189
"AZE","Azerbaijan","Asia",10131629,10178609,0.000030790006375625,0.0000139508,312,142,46980,-0.000016839206375625,-170,0.463696410517993,-54.6904933055025,-54.4871794871795
"BDI","Burundi","Africa",12026248,12249191,0.965652027735641,0.925447811,11613171,11335987,222943,-0.040204216735641,-277184,1.85380344725969,-4.16342694685952,-2.38680718642652
"BEL","Belgium","Europe",11565374,11602938,0.00205681669646951,0.004116975,23788,47769,37564,0.00206015830353049,23981,0.324797105567014,100.162464991008,100.811333445435
"BEN","Benin","Africa",12656773,12898829,0.663441656688646,0.401828724,8397031,5183120,242056,-0.261612932688646,-3213911,1.91246220501861,-39.4326961611669,-38.2743734065052
"BFA","Burkina Faso","Africa",22109580,22521429,0.374781794282555,0.676730504,8286268,15240938,411849,0.301948709717445,6954670,1.86276265763529,80.566536134837,83.9300635702345
"BGD","Bangladesh","Asia",176532824,176597147,0.0515913988377271,0.000127278,9107575,22477,64323,-0.0514641208377271,-9085098,0.036436849840458,-99.7532960864265,-99.7532054361342
"BGR","Bulgaria","Europe",6755328,6668254,0.0273603619190372,0.000116672,184828,778,-87074,-0.0272436899190372,-184050,-1.28896775996665,-99.5735728922547,-99.5790681065639
"BHR","Bahrain","Asia",1560216,1581842,0.0172668774801541,0.000302812,26940,479,21626,-0.0169640654801541,-26461,1.38609013111005,-98.2462839598645,-98.2219747587231
"BIH","Bosnia & Herzegovina","Europe",3310080,3250045,0.00346661701516682,0.000616299,11475,2003,-60035,-0.00285031801516682,-9472,-1.8137023878577,-82.2218896029291,-82.5446623093682
"BLR","Belarus","Europe",9328124,9298351,0.0013027150715651,0.0000302204,12152,281,-29773,-0.0012724946715651,-11871,-0.319174573579854,-97.6801987894642,-97.6876234364714
"BOL","Bolivia","Americas",12129476,11985513,0.138711482603154,0.181719714,1682498,2178004,-143963,0.043008231396846,495506,-1.18688556702697,31.005530753276,29.4506145029593
"BRA","Brazil","Americas",220456676,218434317,0.356095057969131,0.038255907,78503533,8356403,-2022359,-0.317839150969131,-70147130,-0.917349856077844,-89.2568273151052,-89.3553797126557
"BRB","Barbados","Americas",281681,277016,0.251533831563331,0.057484044,70852,15924,-4665,-0.194049787563331,-54928,-1.65612874137766,-77.1465954926518,-77.5249816518941
"BTN","Bhutan","Asia",868660,864887,0.0738474796691823,0.033849509,64148,29276,-3773,-0.0399979706691823,-34872,-0.43434715538876,-54.1629461809163,-54.3617883644073
"BWA","Botswana","Africa",2502908,2509746,0.548572666866829,0.418559488,1373027,1050478,6838,-0.130013178866829,-322549,0.273202211187946,-23.7002655654353,-23.4918177137085
"CAF","Central African Republic","Africa",5147074,5219355,0.897343439520628,0.860404207,4618693,4490755,72281,-0.036939232520628,-127938,1.40431243071306,-4.11651001096764,-2.77000441466883
"CAN","Canada","Americas",37856667,38118967,0.00412959198723561,0.003517986,156333,134102,262300,-0.00061160598723561,-22231,0.692876633856858,-14.8103248244877,-14.2202861839791
"CHE","Switzerland","Europe",8685054,8737949,0.00235791340759561,0.005244137,20479,45823,52895,0.00288622359240439,25344,0.609034785506227,122.405834883797,123.756042775526
"CHL","Chile","Americas",18612302,18680366,0.0260468170544089,0.064700499,484791,1208629,68064,0.0386536819455911,723838,0.36569361490051,148.400788721508,149.309289982694
"CIV","Côte d’Ivoire",NA,NA,27668394,NA,0.246498152,NA,6820208,NA,NA,NA,NA,NA,NA
"CMR","Cameroon","Africa",27109334,27316856,0.507366847444707,0.404160347,13754377,11040390,207522,-0.103206500444707,-2713987,0.765500177909203,-20.3415932602799,-19.7318061007053
"COG","Congo - Brazzaville","Africa",5943890,6049804,0.820893374439048,0.746876758,4879300,4518458,105914,-0.074016616439048,-360842,1.78189704049032,-9.01659323168819,-7.39536408911114
"COL","Colombia","Americas",51694330,51475078,0.339009238138819,0.219633198,17524856,11305636,-219252,-0.119376040138819,-6219220,-0.424131621398324,-35.2132115319926,-35.4879948799579
"COM","Comoros","Africa",919039,924176,0.600578415587014,0.508503791,551955,469947,5137,-0.092074624587014,-82008,0.558953428526972,-15.3309912906242,-14.8577329673615
