"","Year","Beauty Expenditure Total"
"1",2000,1117424771790.97
"2",2001,1152064694896.03
"3",2002,1185695493964.5
"4",2003,1224905113757.58
"5",2004,1281115295557.53
"6",2005,1341317488162.71
"7",2006,1401842519748.03
"8",2007,1477559833110.65
"9",2008,1522173599265.45
"10",2009,1530352099495.62
"11",2010,1592335691368.64
"12",2011,1654919083551.41
"13",2012,1708866004278.39
"14",2013,1768449347090.13
"15",2014,1827077459524.06
"16",2015,1883663307432.79
"17",2016,1947379192338.97
"18",2017,2025512616167.82
"19",2018,2102786496904.31
"20",2019,2166518422993.1
"21",2020,2075919038205.54
"22",2021,2218372917165.91
"23",2022,2296027329716.23
"24",2023,2360965658591.07
"25",2024,2435662973490.14
"26",2025,2517571464451.64
"27",2026,2603655329636.59
"28",2027,2691405648076.52
"29",2028,2782253574244.14
"30",2029,2876065010211.41
"31",2030,2972946044005.55
"32",2031,3071886738536.38
"33",2032,3173572856116.66
"34",2033,3278283030149.98
"35",2034,3385978486404.3
