"year","sector","subsector","rank","iso3c","country","em_pc"
2020,"Building","BUILD_FGAS",1,"ESP","Spain",0.0509616499485514
2020,"Building","BUILD_FGAS",2,"GBR","United Kingdom",0.0910559742670392
2020,"Building","BUILD_FGAS",3,"ITA","Italy",0.122761124787934
2020,"Building","buildings_gas",1,"MEX","Mexico",0.00541660102417294
2020,"Building","buildings_gas",2,"KOR","South Korea",0.114195883849022
2020,"Building","buildings_gas",3,"ESP","Spain",0.170303343409126
2020,"Building","buildings_liquids",1,"TUR","Turkey",0.0659933965164619
2020,"Building","buildings_liquids",2,"ESP","Spain",0.13695531353686
2020,"Building","buildings_liquids",3,"MEX","Mexico",0.0500398806281874
2020,"Building","buildings_solids",1,"KOR","South Korea",0.0194922490599011
2020,"Building","buildings_solids",2,"MEX","Mexico",0.023335418889134
2020,"Building","buildings_solids",3,"ESP","Spain",0.173702971610223
2020,"Industry","Cement",1,"GBR","United Kingdom",0.0491838685158001
2020,"Industry","Cement",2,"CAN","Canada",0.137570133793699
2020,"Industry","Cement",3,"FRA","France",0.0919618287469944
2020,"Industry","Chemicals",1,"ITA","Italy",0.264409686125381
2020,"Industry","Chemicals",2,"ESP","Spain",0.359819940657643
2020,"Industry","Chemicals",3,"GBR","United Kingdom",0.262684802590021
2020,"Agriculture","CROPS",1,"ITA","Italy",0.16911509639056
2020,"Agriculture","CROPS",2,"ESP","Spain",0.258866291444989
2020,"Agriculture","CROPS",3,"KOR","South Korea",0.256900228588369
2020,"Energy","ENE_COMBUST",1,"TUR","Turkey",0.0121425594149464
2020,"Energy","ENE_COMBUST",2,"ITA","Italy",0.0425439454943805
2020,"Energy","ENE_COMBUST",3,"FRA","France",0.0383462918660287
2020,"Energy","energy_coal",1,"FRA","France",0.027276112379472
2020,"Energy","energy_coal",2,"GBR","United Kingdom",0.0566647950338014
2020,"Energy","energy_coal",3,"ESP","Spain",0.306891350434371
2020,"Energy","energy_gas",1,"FRA","France",0.16706345784859
2020,"Energy","energy_gas",2,"GBR","United Kingdom",0.478644390253372
2020,"Energy","energy_gas",3,"ITA","Italy",0.625396330623178
2020,"Energy","energy_heating",1,"JPN","Japan",0.00191259715500807
2020,"Energy","energy_heating",2,"TUR","Turkey",0.00858625420616625
2020,"Energy","energy_heating",3,"KOR","South Korea",0.0169968520338904
2020,"Energy","energy_oil",1,"DEU","Germany",2.69920765986057e-07
2020,"Energy","energy_oil",2,"TUR","Turkey",2.91651830905129e-07
2020,"Energy","energy_oil",3,"USA","United States",7.5664767954839e-06
2020,"Energy","energy_residual",1,"FRA","France",0.542841076069269
2020,"Energy","energy_residual",2,"TUR","Turkey",0.478059652521148
2020,"Energy","energy_residual",3,"ITA","Italy",0.712278697906261
2020,"Energy","FF_PROD",1,"JPN","Japan",0.0123292231959192
2020,"Energy","FF_PROD",2,"FRA","France",0.0328025799674544
2020,"Energy","FF_PROD",3,"KOR","South Korea",0.0442635826740938
2020,"Agriculture","LIVESTOCK",1,"KOR","South Korea",0.205126503768197
2020,"Agriculture","LIVESTOCK",2,"JPN","Japan",0.11467312715267
2020,"Agriculture","LIVESTOCK",3,"ITA","Italy",0.309492514620279
2020,"Agriculture","LULUCF",1,"TUR","Turkey",-0.69419092744067
2020,"Agriculture","LULUCF",2,"KOR","South Korea",-0.873377159106867
2020,"Agriculture","LULUCF",3,"FRA","France",-0.340929614067471
2020,"Industry","Metals",1,"GBR","United Kingdom",0.0993351571798276
2020,"Industry","Metals",2,"ITA","Italy",0.131085761016427
2020,"Industry","Metals",3,"ESP","Spain",0.192056060771365
2020,"Industry","Other (industry)",1,"ESP","Spain",0.48981805813155
2020,"Industry","Other (industry)",2,"ITA","Italy",0.521552661788161
2020,"Industry","Other (industry)",3,"GBR","United Kingdom",0.485151221464443
2020,"Transport","transport_air",1,"MEX","Mexico",0.000169552685790763
2020,"Transport","transport_air",2,"DEU","Germany",0.0129682818561715
2020,"Transport","transport_air",3,"ITA","Italy",0.0236258800104298
2020,"Transport","transport_bus",1,"ITA","Italy",0.431048122475102
2020,"Transport","transport_bus",2,"ESP","Spain",0.59138395617137
2020,"Transport","transport_bus",3,"GBR","United Kingdom",0.558112946074574
2020,"Transport","transport_cars",1,"TUR","Turkey",0.311609723672042
2020,"Transport","transport_cars",2,"ESP","Spain",0.934951749572688
2020,"Transport","transport_cars",3,"KOR","South Korea",0.869988102482485
2020,"Transport","TRANSPORT_COOL",1,"ESP","Spain",0.0155220908019347
2020,"Transport","TRANSPORT_COOL",2,"CAN","Canada",0.0230529679361565
2020,"Transport","TRANSPORT_COOL",3,"ITA","Italy",0.0166029311670149
2020,"Transport","transport_off",1,"KOR","South Korea",0.0334783660222503
2020,"Transport","transport_off",2,"GBR","United Kingdom",0.0811972875261145
2020,"Transport","transport_off",3,"ITA","Italy",0.0979426295846046
2020,"Transport","transport_ships",1,"KOR","South Korea",0.0125981252633057
2020,"Transport","transport_ships",2,"DEU","Germany",0.00988096494220015
2020,"Transport","transport_ships",3,"FRA","France",0.0132937695820076
2020,"Industry","Waste",1,"GBR","United Kingdom",0.154003721363644
2020,"Industry","Waste",2,"JPN","Japan",0.0823542169534251
2020,"Industry","Waste",3,"ITA","Italy",0.24499873014368
