"","year","sector","subsector","rank","iso3c","country","em_pc"
"1",2020,"Building","BUILD_FGAS",1,"AFG","Afghanistan",0.000312670871550801
"2",2020,"Building","BUILD_FGAS",2,"CIV","Côte d’Ivoire",0.0121223673328076
"3",2020,"Building","BUILD_FGAS",3,"KHM","Cambodia",0.0123611821675451
"4",2020,"Building","buildings_gas",1,"COD","Congo - Kinshasa",0.000005225611832052
"5",2020,"Building","buildings_gas",2,"AFG","Afghanistan",0.000024798034640236
"6",2020,"Building","buildings_gas",3,"CIV","Côte d’Ivoire",0.000155488449924025
"7",2020,"Building","buildings_liquids",1,"COD","Congo - Kinshasa",0.0000597552106249583
"8",2020,"Building","buildings_liquids",2,"MMR","Myanmar (Burma)",0.000205931504630652
"9",2020,"Building","buildings_liquids",3,"AFG","Afghanistan",0.000463769455290376
"10",2020,"Building","buildings_solids",1,"AFG","Afghanistan",0.00585965236543986
"11",2020,"Building","buildings_solids",2,"MMR","Myanmar (Burma)",0.0105943099665769
"12",2020,"Building","buildings_solids",3,"COD","Congo - Kinshasa",0.0137194706070645
"13",2020,"Industry","Cement",1,"AFG","Afghanistan",0.000926024330825292
"14",2020,"Industry","Cement",2,"COD","Congo - Kinshasa",0.00834887632379339
"15",2020,"Industry","Cement",3,"UGA","Uganda",0.0222381768552022
"16",2020,"Industry","Chemicals",1,"ETH","Ethiopia",0.000989464558988739
"17",2020,"Industry","Chemicals",2,"NPL","Nepal",0.00287491788330114
"18",2020,"Industry","Chemicals",3,"COD","Congo - Kinshasa",0.00327373270429937
"19",2020,"Agriculture","CROPS",1,"COD","Congo - Kinshasa",0.0796221837402034
"20",2020,"Agriculture","CROPS",2,"CIV","Côte d’Ivoire",0.107112769517801
"21",2020,"Agriculture","CROPS",3,"GHA","Ghana",0.107678659742829
"22",2020,"Energy","ENE_COMBUST",1,"NPL","Nepal",0.00931982860896763
"23",2020,"Energy","ENE_COMBUST",2,"BGD","Bangladesh",0.0197411943947668
"24",2020,"Energy","ENE_COMBUST",3,"KHM","Cambodia",0.0314377922402408
"25",2020,"Energy","energy_coal",1,"NPL","Nepal",0.00000183026274075309
"26",2020,"Energy","energy_coal",2,"ETH","Ethiopia",0.0000223800720054491
"27",2020,"Energy","energy_coal",3,"COD","Congo - Kinshasa",0.0000255285842098298
"28",2020,"Energy","energy_gas",1,"NPL","Nepal",0.000000130733052910935
"29",2020,"Energy","energy_gas",2,"ETH","Ethiopia",0.00000168071686997444
"30",2020,"Energy","energy_gas",3,"COD","Congo - Kinshasa",0.0000212304619237264
"31",2020,"Energy","energy_heating",1,"NPL","Nepal",0.000000359515895505071
"32",2020,"Energy","energy_heating",2,"SDN","Sudan",0.00000143933660511568
"33",2020,"Energy","energy_heating",3,"AFG","Afghanistan",0.0000467722765160558
"34",2020,"Energy","energy_oil",1,"NPL","Nepal",0.000000849764843921076
"35",2020,"Energy","energy_oil",2,"ETH","Ethiopia",0.0000120392403159748
"36",2020,"Energy","energy_oil",3,"COD","Congo - Kinshasa",0.000106288039796088
"37",2020,"Energy","energy_residual",1,"NPL","Nepal",0.0027576176515768
"38",2020,"Energy","energy_residual",2,"AFG","Afghanistan",0.00690460971333369
"39",2020,"Energy","energy_residual",3,"UGA","Uganda",0.0135435155208532
"40",2020,"Energy","FF_PROD",1,"ETH","Ethiopia",0.00000789936928887985
"41",2020,"Energy","FF_PROD",2,"NPL","Nepal",0.0000147728349789356
"42",2020,"Energy","FF_PROD",3,"AFG","Afghanistan",0.0000291364071601116
"43",2020,"Agriculture","LIVESTOCK",1,"COD","Congo - Kinshasa",0.0221681538546805
"44",2020,"Agriculture","LIVESTOCK",2,"CIV","Côte d’Ivoire",0.0956024311900137
"45",2020,"Agriculture","LIVESTOCK",3,"GHA","Ghana",0.113894528606382
"46",2020,"Agriculture","LULUCF",1,"GHA","Ghana",-0.742993713884117
"47",2020,"Agriculture","LULUCF",2,"AFG","Afghanistan",0.030090746431111
"48",2020,"Agriculture","LULUCF",3,"BGD","Bangladesh",0.127826373172801
"49",2020,"Industry","Metals",1,"COD","Congo - Kinshasa",0.0000136748153786815
"50",2020,"Industry","Metals",2,"UGA","Uganda",0.0000326710256247487
"51",2020,"Industry","Metals",3,"AFG","Afghanistan",0.0000375307729234213
"52",2020,"Industry","Other (industry)",1,"UGA","Uganda",0.0209012040034702
"53",2020,"Industry","Other (industry)",2,"COD","Congo - Kinshasa",0.0213115493939082
"54",2020,"Industry","Other (industry)",3,"TZA","Tanzania",0.0369646541734926
"55",2020,"Transport","transport_air",1,"COD","Congo - Kinshasa",0.000211218777817617
"56",2020,"Transport","transport_air",2,"TZA","Tanzania",0.000292835737403604
"57",2020,"Transport","transport_air",3,"UGA","Uganda",0.000569288389513109
"58",2020,"Transport","transport_bus",1,"COD","Congo - Kinshasa",0.027212769495095
"59",2020,"Transport","transport_bus",2,"AFG","Afghanistan",0.0363269387262641
"60",2020,"Transport","transport_bus",3,"UGA","Uganda",0.0506557481114708
"61",2020,"Transport","transport_cars",1,"COD","Congo - Kinshasa",0.00488140010202385
"62",2020,"Transport","transport_cars",2,"UGA","Uganda",0.00677451913921158
"63",2020,"Transport","transport_cars",3,"ETH","Ethiopia",0.00816910665475422
"64",2020,"Transport","TRANSPORT_COOL",1,"COD","Congo - Kinshasa",0.000534233978466407
"65",2020,"Transport","TRANSPORT_COOL",2,"ETH","Ethiopia",0.00137056268631631
"66",2020,"Transport","TRANSPORT_COOL",3,"UGA","Uganda",0.00178537421443535
"67",2020,"Transport","transport_off",1,"TZA","Tanzania",0.000137579414232629
"68",2020,"Transport","transport_off",2,"AFG","Afghanistan",0.00238179218425505
"69",2020,"Transport","transport_off",3,"COD","Congo - Kinshasa",0.00241001372005877
"70",2020,"Transport","transport_ships",1,"COD","Congo - Kinshasa",0.000969746874529893
"71",2020,"Transport","transport_ships",2,"CIV","Côte d’Ivoire",0.00479129080033083
"72",2020,"Transport","transport_ships",3,"GHA","Ghana",0.00792473580092665
"73",2020,"Industry","Waste",1,"AFG","Afghanistan",0.125236980390043
"74",2020,"Industry","Waste",2,"NPL","Nepal",0.135032045939595
"75",2020,"Industry","Waste",3,"UGA","Uganda",0.150413889417889
