"","year","sector","subsector","rank","iso3c","country","em_pc"
"1",2020,"Building","BUILD_FGAS",1,"IND","India",0.0177804959223009
"2",2020,"Building","BUILD_FGAS",2,"EGY","Egypt",0.0196909495722823
"3",2020,"Building","BUILD_FGAS",3,"BRA","Brazil",0.0390980475619728
"4",2020,"Building","buildings_gas",1,"IND","India",0.00137351318812981
"5",2020,"Building","buildings_gas",2,"IDN","Indonesia",0.00416059649157686
"6",2020,"Building","buildings_gas",3,"THA","Thailand",0.00530265006234512
"7",2020,"Building","buildings_liquids",1,"IDN","Indonesia",0.004980323244417
"8",2020,"Building","buildings_liquids",2,"IND","India",0.0128112088974295
"9",2020,"Building","buildings_liquids",3,"THA","Thailand",0.0131076855969133
"10",2020,"Building","buildings_solids",1,"BRA","Brazil",0.0179170633898267
"11",2020,"Building","buildings_solids",2,"MEX","Mexico",0.0238408210788175
"12",2020,"Building","buildings_solids",3,"EGY","Egypt",0.0327019159407836
"13",2020,"Industry","Cement",1,"IND","India",0.0737991422072247
"14",2020,"Industry","Cement",2,"BRA","Brazil",0.086160293892517
"15",2020,"Industry","Cement",3,"IDN","Indonesia",0.11614975098936
"16",2020,"Industry","Chemicals",1,"IND","India",0.0518144321319218
"17",2020,"Industry","Chemicals",2,"IDN","Indonesia",0.104545763137442
"18",2020,"Industry","Chemicals",3,"BRA","Brazil",0.135981619115895
"19",2020,"Agriculture","CROPS",1,"IRN","Iran",0.123814535004296
"20",2020,"Agriculture","CROPS",2,"EGY","Egypt",0.227753369009023
"21",2020,"Agriculture","CROPS",3,"MEX","Mexico",0.24177384773042
"22",2020,"Energy","ENE_COMBUST",1,"EGY","Egypt",0.00834985938049295
"23",2020,"Energy","ENE_COMBUST",2,"TUR","Turkey",0.00873175201330905
"24",2020,"Energy","ENE_COMBUST",3,"IND","India",0.0239024390949765
"25",2020,"Energy","energy_coal",1,"EGY","Egypt",0.000564597086051326
"26",2020,"Energy","energy_coal",2,"IRN","Iran",0.00594411163452138
"27",2020,"Energy","energy_coal",3,"BRA","Brazil",0.124783739204463
"28",2020,"Energy","energy_gas",1,"IND","India",0.0223409697341537
"29",2020,"Energy","energy_gas",2,"IDN","Indonesia",0.111744558196181
"30",2020,"Energy","energy_gas",3,"BRA","Brazil",0.131549423304545
"31",2020,"Energy","energy_heating",1,"EGY","Egypt",0.0000538846138822702
"32",2020,"Energy","energy_heating",2,"IRN","Iran",0.000250241460018369
"33",2020,"Energy","energy_heating",3,"IND","India",0.0011232751535287
"34",2020,"Energy","energy_oil",1,"CHN","China",0.00340274882994681
"35",2020,"Energy","energy_oil",2,"IND","India",0.013074938212295
"36",2020,"Energy","energy_oil",3,"THA","Thailand",0.0136270656754581
"37",2020,"Energy","energy_residual",1,"IND","India",0.0828321798181387
"38",2020,"Energy","energy_residual",2,"TUR","Turkey",0.238320352801498
"39",2020,"Energy","energy_residual",3,"BRA","Brazil",0.278594134471415
"40",2020,"Energy","FF_PROD",1,"IND","India",0.0155101124912455
"41",2020,"Energy","FF_PROD",2,"TUR","Turkey",0.034727360222822
"42",2020,"Energy","FF_PROD",3,"BRA","Brazil",0.0352605351001983
"43",2020,"Agriculture","LIVESTOCK",1,"IDN","Indonesia",0.115001577601229
"44",2020,"Agriculture","LIVESTOCK",2,"EGY","Egypt",0.156938049294949
"45",2020,"Agriculture","LIVESTOCK",3,"THA","Thailand",0.182132633690473
"46",2020,"Agriculture","LULUCF",1,"TUR","Turkey",-0.662806298221288
"47",2020,"Agriculture","LULUCF",2,"POL","Poland",-0.210775641042498
"48",2020,"Agriculture","LULUCF",3,"RUS","Russia",-0.0250344765452637
"49",2020,"Industry","Metals",1,"THA","Thailand",0.0334528867442358
"50",2020,"Industry","Metals",2,"EGY","Egypt",0.0390191398773485
"51",2020,"Industry","Metals",3,"IRN","Iran",0.0590875477735312
"52",2020,"Industry","Other (industry)",1,"IND","India",0.224036624047138
"53",2020,"Industry","Other (industry)",2,"BRA","Brazil",0.231673462301032
"54",2020,"Industry","Other (industry)",3,"IDN","Indonesia",0.370104077500903
"55",2020,"Transport","transport_air",1,"MEX","Mexico",0.00017021286172765
"56",2020,"Transport","transport_air",2,"IRN","Iran",0.000427138328444879
"57",2020,"Transport","transport_air",3,"IND","India",0.00544906565992742
"58",2020,"Transport","transport_bus",1,"IND","India",0.112100126469448
"59",2020,"Transport","transport_bus",2,"CHN","China",0.262002900081457
"60",2020,"Transport","transport_bus",3,"IDN","Indonesia",0.295739880249574
"61",2020,"Transport","transport_cars",1,"IND","India",0.0754946134723243
"62",2020,"Transport","transport_cars",2,"EGY","Egypt",0.252770477715714
"63",2020,"Transport","transport_cars",3,"IDN","Indonesia",0.264819356375515
"64",2020,"Transport","TRANSPORT_COOL",1,"IND","India",0.00659886105146178
"65",2020,"Transport","TRANSPORT_COOL",2,"IDN","Indonesia",0.010677985633336
"66",2020,"Transport","TRANSPORT_COOL",3,"EGY","Egypt",0.010786971212062
"67",2020,"Transport","transport_off",1,"IDN","Indonesia",0.0214184420663226
"68",2020,"Transport","transport_off",2,"IND","India",0.0355490286162448
"69",2020,"Transport","transport_off",3,"CHN","China",0.0751857546575702
"70",2020,"Transport","transport_ships",1,"IND","India",0.00246125751726293
"71",2020,"Transport","transport_ships",2,"POL","Poland",0.0057976906429227
"72",2020,"Transport","transport_ships",3,"MEX","Mexico",0.00847841449746357
"73",2020,"Industry","Waste",1,"IND","India",0.142832671804548
"74",2020,"Industry","Waste",2,"EGY","Egypt",0.200156214600992
"75",2020,"Industry","Waste",3,"POL","Poland",0.205989812742749
