"","year","sector","subsector","rank","iso3c","country","em_pc"
"1",2022,"Building","BUILD_FGAS",1,"EGY","Egypt",0.0170428557975274
"2",2022,"Building","BUILD_FGAS",2,"IND","India",0.0200688064285504
"3",2022,"Building","BUILD_FGAS",3,"BRA","Brazil",0.0341649221910085
"4",2022,"Building","buildings_gas",1,"IND","India",0.00221046698397729
"5",2022,"Building","buildings_gas",2,"IDN","Indonesia",0.0065184678978209
"6",2022,"Building","buildings_gas",3,"THA","Thailand",0.00836261491552722
"7",2022,"Building","buildings_liquids",1,"IDN","Indonesia",0.00402426907314854
"8",2022,"Building","buildings_liquids",2,"THA","Thailand",0.0124403565961517
"9",2022,"Building","buildings_liquids",3,"IND","India",0.0131891356115422
"10",2022,"Building","buildings_solids",1,"BRA","Brazil",0.0208285131549734
"11",2022,"Building","buildings_solids",2,"EGY","Egypt",0.0210332222626374
"12",2022,"Building","buildings_solids",3,"MEX","Mexico",0.0268612966253326
"13",2022,"Industry","Cement",1,"IND","India",0.0746533862980726
"14",2022,"Industry","Cement",2,"RUS","Russia",0.0861650408103697
"15",2022,"Industry","Cement",3,"IDN","Indonesia",0.0883722436988232
"16",2022,"Industry","Chemicals",1,"IND","India",0.0525249100407716
"17",2022,"Industry","Chemicals",2,"IDN","Indonesia",0.0800520746810998
"18",2022,"Industry","Chemicals",3,"BRA","Brazil",0.141731696615504
"19",2022,"Agriculture","CROPS",1,"IRN","Iran",0.117115644313998
"20",2022,"Agriculture","CROPS",2,"EGY","Egypt",0.221940693157814
"21",2022,"Agriculture","CROPS",3,"MEX","Mexico",0.246472065957849
"22",2022,"Energy","ENE_COMBUST",1,"EGY","Egypt",0.00779887395361245
"23",2022,"Energy","ENE_COMBUST",2,"TUR","Turkey",0.00872299907620127
"24",2022,"Energy","ENE_COMBUST",3,"RUS","Russia",0.0228219976507338
"25",2022,"Energy","energy_coal",1,"EGY","Egypt",0.00658557162340071
"26",2022,"Energy","energy_coal",2,"IRN","Iran",0.00780886733166965
"27",2022,"Energy","energy_coal",3,"BRA","Brazil",0.135489291310981
"28",2022,"Energy","energy_gas",1,"IND","India",0.0276400383137091
"29",2022,"Energy","energy_gas",2,"IDN","Indonesia",0.131769821888341
"30",2022,"Energy","energy_gas",3,"CHN","China",0.167704492946157
"31",2022,"Energy","energy_heating",1,"EGY","Egypt",5.23615206823556e-05
"32",2022,"Energy","energy_heating",2,"IRN","Iran",0.00025795266545938
"33",2022,"Energy","energy_heating",3,"IND","India",0.00120983684577939
"34",2022,"Energy","energy_oil",1,"IND","India",0.00884750220889789
"35",2022,"Energy","energy_oil",2,"THA","Thailand",0.0092692656893398
"36",2022,"Energy","energy_oil",3,"IDN","Indonesia",0.0453765648585935
"37",2022,"Energy","energy_residual",1,"IND","India",0.104545353629589
"38",2022,"Energy","energy_residual",2,"TUR","Turkey",0.240885398902934
"39",2022,"Energy","energy_residual",3,"BRA","Brazil",0.263534921511434
"40",2022,"Energy","FF_PROD",1,"IND","India",0.01774031558032
"41",2022,"Energy","FF_PROD",2,"BRA","Brazil",0.0286884948983428
"42",2022,"Energy","FF_PROD",3,"TUR","Turkey",0.0336435838038837
"43",2022,"Agriculture","LIVESTOCK",1,"IDN","Indonesia",0.119779542401885
"44",2022,"Agriculture","LIVESTOCK",2,"EGY","Egypt",0.153785388489716
"45",2022,"Agriculture","LIVESTOCK",3,"THA","Thailand",0.17829884763992
"46",2022,"Agriculture","LULUCF",1,"TUR","Turkey",-0.658548542917457
"47",2022,"Agriculture","LULUCF",2,"POL","Poland",-0.248836131647722
"48",2022,"Agriculture","LULUCF",3,"RUS","Russia",-0.101132290887974
"49",2022,"Industry","Metals",1,"EGY","Egypt",0.0373655372437865
"50",2022,"Industry","Metals",2,"THA","Thailand",0.0381464944635259
"51",2022,"Industry","Metals",3,"IDN","Indonesia",0.0534834564225473
"52",2022,"Industry","Other (industry)",1,"BRA","Brazil",0.227409130613575
"53",2022,"Industry","Other (industry)",2,"IND","India",0.236724203118381
"54",2022,"Industry","Other (industry)",3,"IDN","Indonesia",0.302428030094385
"55",2022,"Transport","transport_air",1,"MEX","Mexico",0.000257699980237245
"56",2022,"Transport","transport_air",2,"IRN","Iran",0.000613164648606488
"57",2022,"Transport","transport_air",3,"IND","India",0.00821867661709313
"58",2022,"Transport","transport_bus",1,"IND","India",0.124208843613773
"59",2022,"Transport","transport_bus",2,"CHN","China",0.293019928392222
"60",2022,"Transport","transport_bus",3,"IDN","Indonesia",0.306676410014523
"61",2022,"Transport","transport_cars",1,"IND","India",0.0837908772509617
"62",2022,"Transport","transport_cars",2,"IDN","Indonesia",0.28730653813047
"63",2022,"Transport","transport_cars",3,"EGY","Egypt",0.291002612602176
"64",2022,"Transport","TRANSPORT_COOL",1,"IND","India",0.00567180500892715
"65",2022,"Transport","TRANSPORT_COOL",2,"EGY","Egypt",0.00861911921122507
"66",2022,"Transport","TRANSPORT_COOL",3,"IDN","Indonesia",0.00899143414018967
"67",2022,"Transport","transport_off",1,"IDN","Indonesia",0.0218447522429927
"68",2022,"Transport","transport_off",2,"IND","India",0.0399473339294613
"69",2022,"Transport","transport_off",3,"CHN","China",0.0767611443685047
"70",2022,"Transport","transport_ships",1,"IND","India",0.00256661746099002
"71",2022,"Transport","transport_ships",2,"POL","Poland",0.00655434672211286
"72",2022,"Transport","transport_ships",3,"THA","Thailand",0.00985581445586439
"73",2022,"Industry","Waste",1,"POL","Poland",0.168420333779608
"74",2022,"Industry","Waste",2,"IND","India",0.192208386233695
"75",2022,"Industry","Waste",3,"EGY","Egypt",0.253796385450797
