"iso3c","year","pop","emissions","em_pc","income_class","emissions_class"
"ABW",2010,101900,1068684,10.4875760549558,"high income","high emissions"
"ABW",2011,102174,938828,9.18852154168379,"high income","middle emissions"
"ABW",2012,102559,1219301,11.8887762166168,"high income","high emissions"
"ABW",2013,103016,1244639,12.0819969713443,"high income","high emissions"
"ABW",2014,103509,1221309,11.7990609512216,"high income","high emissions"
"ABW",2015,104000,1220990,11.7402884615385,"high income","high emissions"
"ABW",2016,104458,1165649,11.1590208504854,"high income","high emissions"
"ABW",2017,104877,947408,9.03351545143358,"high income","middle emissions"
"ABW",2018,105257,921262,8.75250102130975,"high income","middle emissions"
"ABW",2019,105598,1026329,9.71920869713442,"high income","middle emissions"
"ABW",2020,105900,827613,7.81504249291785,"high income","middle emissions"
"ABW",2021,106164,962823,9.06920425002826,"high income","middle emissions"
"ABW",2022,106397,981724,9.22698948278617,"high income","middle emissions"
"ABW",2023,106609,1007796,9.45319813524186,"high income","middle emissions"
"ABW",2024,106807,1021502,9.56399861432303,"high income","middle emissions"
"ABW",2025,107000,1026269,9.59129906542056,"high income","middle emissions"
"ABW",2026,107196,1030359,9.61191648942125,"high income","middle emissions"
"ABW",2027,107394,1033878,9.62696240013409,"high income","middle emissions"
"ABW",2028,107595,1038549,9.65239091035829,"high income","middle emissions"
"ABW",2029,107797,1045325,9.69716225868994,"high income","middle emissions"
"ABW",2030,108000,1054684,9.76559259259259,"high income","middle emissions"
"ABW",2031,108201,1065950,9.85157253629819,"high income","middle emissions"
"ABW",2032,108392,1076412,9.93073289541664,"high income","middle emissions"
"ABW",2033,108562,1088389,10.0255061623773,"high income","high emissions"
"ABW",2034,108701,1103654,10.1531172666305,"high income","high emissions"
"ABW",2035,108800,1118526,10.2805698529412,"high income","high emissions"
"ABW",2036,108851,1133568,10.413941994102,"high income","high emissions"
"ABW",2037,108859,1149777,10.5620757126191,"high income","high emissions"
"ABW",2038,108831,1167279,10.725611268848,"high income","high emissions"
"ABW",2039,108775,1185109,10.8950494139278,"high income","high emissions"
"ABW",2040,108700,1203625,11.0729070837167,"high income","high emissions"
"ABW",2041,108612,1224086,11.2702647957868,"high income","high emissions"
"ABW",2042,108514,1243612,11.4603829920563,"high income","high emissions"
"ABW",2043,108411,1266947,11.6865170508528,"high income","high emissions"
"ABW",2044,108305,1292841,11.9370389178708,"high income","high emissions"
"ABW",2045,108200,1318231,12.183280961183,"high income","high emissions"
"ABW",2046,108100,1347167,12.4622294172063,"high income","high emissions"
"ABW",2047,108012,1376993,12.7485186831093,"high income","high emissions"
"ABW",2048,107944,1407794,13.041892092196,"high income","high emissions"
"ABW",2049,107904,1441480,13.3589116251483,"high income","high emissions"
"ABW",2050,107900,1476493,13.6839017608897,"high income","high emissions"
"AFG",2010,28422700,30595986,1.07646303834611,"low income","low emissions"
"AFG",2011,29351510,35796776,1.21958890701024,"low income","low emissions"
"AFG",2012,30388629,33214164,1.09298000906852,"low income","low emissions"
"AFG",2013,31493093,31200878,0.990721298793993,"low income","low emissions"
"AFG",2014,32623938,30927092,0.947987701546024,"low income","low emissions"
"AFG",2015,33740200,30524671,0.904697393613553,"low income","low emissions"
"AFG",2016,34811199,29118415,0.836466879523455,"low income","low emissions"
"AFG",2017,35847400,31599405,0.881497821320375,"low income","low emissions"
"AFG",2018,36869551,31708048,0.860006350497732,"low income","low emissions"
"AFG",2019,37898401,31243062,0.824389978880639,"low income","low emissions"
"AFG",2020,38954700,29247861,0.750817256967709,"low income","low emissions"
"AFG",2021,40054777,29216348,0.729409827946365,"low income","low emissions"
