"Province","year","gdp","gdp_agriculture_forest_fish","gdp_mining_quarry","gdp_manufacturing","gdp_electricity_gas_water","gdp_construction","gdp_trade_cater_accom","gdp_transport_store_comms","gdp_fin_realestate_biz","gdp_personal_services","gdp_govt_services","gdp_tax","electricity","pop_Male_0-4","pop_Male_5-9","pop_Male_10-14","pop_Male_15-19","pop_Male_20-24","pop_Male_25-29","pop_Male_30-34","pop_Male_35-39","pop_Male_40-44","pop_Male_45-49","pop_Male_50-54","pop_Male_55-59","pop_Male_60-64","pop_Male_65-69","pop_Male_70-74","pop_Male_75-79","pop_Male_80+","pop_Female_0-4","pop_Female_5-9","pop_Female_10-14","pop_Female_15-19","pop_Female_20-24","pop_Female_25-29","pop_Female_30-34","pop_Female_35-39","pop_Female_40-44","pop_Female_45-49","pop_Female_50-54","pop_Female_55-59","pop_Female_60-64","pop_Female_65-69","pop_Female_70-74","pop_Female_75-79","pop_Female_80+"
"WCP",2002,272712,12081,974,46385,6080,8018,39395,24175,64916,18442,26463,25784,20273,225082,221707,230564,232380,214609,213014,203574,182000,153234,124875,101232,77629,61862,46722,30648,17825,10872,215248,215023,227018,233373,218335,211021,210203,199099,177008,145406,118650,93369,65618,51841,38153,30428,24957
"WCP",2003,282342,11986,986,45312,6833,8142,40603,26011,69198,19470,27052,26748,21014,227256,220478,229643,239186,225690,214513,209265,184927,158437,128658,104249,80174,62564,47617,31662,17838,11535,217533,213247,226292,239884,227945,212416,210892,202171,180814,151144,121519,97384,68679,52473,39228,28933,26308
"WCP",2004,298110,12284,999,47983,7334,8939,42769,27438,74652,19831,27876,28005,21946,230812,221174,227907,243510,238530,217315,213927,187951,163188,132535,107126,82986,63536,48681,32407,18144,12152,221492,213354,224288,244310,239016,215435,211055,205143,183924,156463,125011,100835,72612,53189,40307,27950,27530
"WCP",2005,315934,13008,1051,50545,7777,10038,46682,29913,77949,20684,28964,29322,22474,235765,222611,226569,244884,250744,222738,218383,191179,167546,136583,110058,85986,64806,49666,33153,18677,12840,227079,214320,222180,246102,250257,220794,211762,207185,187475,161517,128922,104238,76807,54287,41179,27700,28637
"WCP",2006,334034,12267,993,53708,7931,11113,49130,31170,85277,21567,29723,31156,22664,242072,224398,225987,241782,261966,232586,221390,195862,171548,140937,113112,89223,66541,50414,33922,19475,13651,234072,215873,220574,243674,260646,229554,214114,208128,191357,166104,133356,107666,81053,55811,41839,28246,29724
"WCP",2007,354894,12488,961,56472,8119,12893,51915,33673,91962,22714,31097,32602,23841,249911,226101,225733,244306,269066,242868,223781,201818,174927,145326,116066,92498,68491,51101,34749,20218,14173,242173,217537,220301,245149,266570,239050,217179,208376,193933,170907,137939,111048,85384,57886,42347,29652,30163
"WCP",2008,368727,15275,894,57507,7309,13966,52163,34447,97539,23592,32802,33233,23481,260069,228240,224632,245394,274332,256392,226868,207996,178098,150377,119629,95355,70942,51941,35677,20942,14677,252303,219782,219139,245426,272114,250514,220095,209709,197180,174927,143828,114184,89489,60965,42911,30899,30548
"WCP",2009,363601,15071,876,52345,7365,14524,51425,34529,97608,23318,33914,32626,22997,269143,231725,225353,243504,280138,270798,231216,213993,182017,155430,123659,98176,73633,52979,36781,21489,15147,261179,223612,219366,243299,277901,263016,224620,211529,200959,178696,149641,118030,93173,64765,43820,31755,30840
"WCP",2010,372788,14524,885,55383,7443,14644,53608,35030,98687,23371,34997,34218,23347,278049,236949,226606,240000,285768,283669,237269,219867,186530,160291,128045,101283,76718,54527,38073,22248,15657,269489,229318,219693,240064,283171,274667,230483,214212,204361,183044,155328,122422,97004,68945,45389,32293,31207
"WCP",2011,386830,14784,908,56979,7591,14737,55997,36271,103280,23926,37075,35281,23503,285530,244328,227402,236428,287083,296506,247820,224603,192920,165347,133011,104620,79977,56434,39164,23045,16154,276500,237158,219720,236848,284484,286345,239496,218314,207143,187903,160677,127343,100865,73265,47423,32393,31596
